case_no	review_concept_key	blocker_type	gpt_final_decision	canonical_parent_candidate	canonical_parent_candidate_name	parent_readiness	canonical_label_candidate	label_basis	label_readiness	source_context_policy	source_preservation	owner_approval_eligible	owner_approval_state	resolution_notes
11	2a16ffd74a0b9293c8cb8525c8541550a2648d39748806d09ded8308b50594c7	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
12	1828313c4385bdc9e07ad785dfebebadb97bd1cfabeadeaca85452d84fdbbf0c	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
13	086cb7669fde42d8cb3ead1004aab5073c384f43c946be95d4066abffb8e0ff9	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
14	708f590c9f35d785d6315ee7e29238697d00dd707c7dcda6060e2e370223b385	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
15	e53153c5f2d624a42c97eec1ac937ceb3194bc799905a8e083045a94cb260c15	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
16	f0f16c06ab4cb90d25d4fe89308cc6c166adb5d47278506dbaf906f92a58573e	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	13f01c1ad0d027cd2397d07a0e9eafb5222e1bbae9c0855e76a6ca66d279e062	철근콘크리트공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
17	512d3906fcf9a0079a12b908c439663d6703b7d06a660b8da1218d18275559b2	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	b15cd2beb1d4901b6d710f491abe2a583003fdfe5fe6d98842ce0257c9159552	토목배관공사및배수공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
18	ef467a3e5fbf9bfabb1bb2275399ad3d5ed56372428997b0f7d746266158e69b	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
19	e4bb13e2e59d60b4434332a68193eba5e027152d0c13595c4ca2514f748f50e5	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
20	a20f051dae1cbf038a0939447b9d4f7508662cd0fbfe028db1c9208aca35e4f7	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
21	fd98cd55706d3e5c006fe7f8b6e705649fdee425f66e36383a54d39a8fce5fcf	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
22	a630c5d19464d9db0acd3e5b3cab8465fe8990f4d36be03653fc000e17206066	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	bc68572923c8910b9b34b63d85b18ecc876df84b7e42beb1fe2750242dca64f0	옹벽공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
23	6aeb0c0085624f5039e903e5cbfb5b103d4201624bf3e1428eb003241778d893	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
24	a27352b5d662e6d1048eeecae66e47f5a993d2674b6fb0789eec4c268f846268	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
25	547f6c3944eefedd97dfa5c18e9128c819c354b470395ca0ff4d247283db372d	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
26	f043ecd7b1058a7909717535be66af98f91a496c01eff626b3aa3bac07ff7e89	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
