source_key	seed_proposal_key	name	hierarchy_level	source_review_stage	source_review_no	semantic_kind	semantic_review_decision	merge_candidate_keys	approval_state
1234	0b9f05fd2c7861efb37e5a9d4aedc2360712edb9a0651d2bc85b5b79820c9cff	RockBolt축력및인발측정	W_LEAF	BATCH001	83	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
2255	b71d60da07ee37da0d6b953c5ce1ed656e9d1a6e352cd2f8bdfb967f5e241881	SCP(SandCompactionPile)	W_LEAF	BATCH001	84	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
243	860dfae19c69a0d246af300631e11161005a379bd1af6612875c86762f4cbcff	SheetPile	W_MID	BATCH001	85	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
0372	975cb6c0568ed2b783d2d0c6a58dcc8cc3a65aa29c7a15548a25f3d9e50bd966	SheetPile가물막이	W_LEAF	BATCH001	86	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
3514	deeda1c6c027a48eee0dd5410c8daea14b715f2c095ba778ff81c75c70c456eb	Shield공법굴착	W_LEAF	BATCH001	87	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1235	efc89b38828e07459f9b0d0c218c397a1fa34886b1aadd2949c75c139881b370	Shotcrete응력측정	W_LEAF	BATCH001	88	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
9131	f509bd65ef8db16879513e9ae1c536c2ce86400ff5a8a2ff7ee41d0e2aa484f1	T&C(TestandCommissioning)공사	W_LEAF	BATCH001	89	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
9111	6a795498bcd06f99ce124f4cf52a5414f415fb4599b77a5f72b0ae56019cbe49	T.A.B(TestingAdjustingandBalancing)공사	W_LEAF	BATCH001	90	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
3513	33412615796bd766f30dbf2e80630ade174815917a31269a64554945836b7de5	TBM공법굴착	W_LEAF	BATCH001	91	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
8432	29cf63f9d74bf8d7538259bcdf4ecacf2f9056dbdee986ae7141a2e0a810172e	TV공청설비공사	W_LEAF	BATCH001	92	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
5425	a3494d10c2e014eb537f40c2047c6fc42f04dcaf0747c1e7fb5a21f8f6ed2491	UBR(UnitBathRoom)설치	W_LEAF	BATCH001	93	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
423	da0fce6f1c58c7903477b7f5d1d9baf88361fe700decaa2376d051a2aa7c288c	가공목재조립식구조목공사	W_MID	BATCH001	94	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
416	1c46dc57f4ca5cfca99c9538a84617909bbff55e41431ba7abc4b6a346a6ca5f	가공석재조적	W_MID	BATCH001	95	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
4866	d55a9bf5177f41261fc9d875225a6ceb45dc11aa63563596f787d0e4a268e142	가공유리	W_LEAF	BATCH001	96	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
2715	2c890927ae82091f3f7cba4f67cadd8af15f2bddd667ff0d0aeaf76d9ad03094	가공재	W_LEAF	BATCH001	97	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
57	376b8a7b5a53f024a700b1152eb5656064779d10c2a7b133912387308a55ec5f	가구및집기	W_ROOT	BATCH001	98	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
421	ee99f011345b8dd8daefef045d4e83a1444a2e02706627fb4a99d85c13d8aa12	가구식구조목공사	W_MID	BATCH001	99	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
037	83d2374ad808f954472683e4336426c74b21361b58bc49afd90ae0f463bdf409	가물막이	W_MID	BATCH001	100	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
01	365f2d2491bee062fd5fe945d8c72e15b0fa189edc2975b3349c5120a4c597f9	공사일반사항및공사비	W_ROOT	BATCH002	201	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
02	732cfa4d6f20934e81e9510019b77e25fc7335b83723c682750ef7f11bbf64d7	가설건물 시설물(간접가설공사)	W_ROOT	BATCH002	202	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
03	c0ca4255abac56f09d5c67f6aaf964c337f57f4b95c03972b155d5aaad8e03d3	본공사성가설공사	W_ROOT	BATCH002	203	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
05	db101f4ddec107e52c12c2fc16fdd8a93cfbf1c5c8dc6853b0d7d497d9fa9a3a	현장유지관리	W_ROOT	BATCH002	204	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
06	e8a9bd2b553cfbd43996e2bb74b28e0618924c6a1bfe3364c35bad5f5c706530	공통장비	W_ROOT	BATCH002	205	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
07	15d1005ded119e37d0cd125e9cf855a84b37dc83a13499479c3a2eab00e4ebed	품질시험	W_ROOT	BATCH002	206	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
08	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	건축품질시험	W_ROOT	BATCH002	207	PROCESS	MERGE_CANDIDATE	UNRESOLVED	NOT_APPROVED
11	1af0df0bcd9381ff3cb50d3fb691afb696ae51bd5478c071c3bacec4ee5cc606	측량	W_ROOT	BATCH002	208	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
12	97e8fc9a7c43d303dce304a9c43ac6c022686b3e8be9b77e9144f3c03336714d	계측	W_ROOT	BATCH002	209	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
13	6e2c7f3735566729ef09ff14216d26e2a78ec72e8bc12a51ba9992c97de2fc39	지반조사	W_ROOT	BATCH002	210	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
18	38b3879ccf8479602ef9df0ea5885a0e496197255462a7b35d1898685070be26	철거해체공사및시설물보호	W_ROOT	BATCH002	211	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
21	1947811c63d0c16f4119a0ccdd19b8ed4d2272f39ae0fe249faddf762bc002f1	토공사	W_ROOT	BATCH002	212	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
22	0990b09fe59e497b5f0c05a146e28abea2965e6bf121ae9bae658a3deb877660	지반개량및지반보강공사	W_ROOT	BATCH002	213	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
23	056d749d4602beb449a705af003e810884ec9a027bed43d9892484a79862eeed	말뚝공사	W_ROOT	BATCH002	214	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
24	ce54e888f4f6b9d6d9cf2de195593dca6cd896cd927157347a352b552520bb17	흙막이및지보공사	W_ROOT	BATCH002	215	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
25	b83757c86a8fc1de9faaa1ed3d4a091cb1a2b36914c34468e8fd97b70595ceb1	철근콘크리트공사	W_ROOT	BATCH002	216	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
26	14c2c897b56fe58093fe57dbde41107553c1ddd72a85c41a1c8b9ae105653c67	프리케스트콘크리트공사	W_ROOT	BATCH002	217	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
27	5abad6fd66555cb2dfa6e2bebdd6b6b4f284e898aa2097f09d948f30008041d0	강구조물공사	W_ROOT	BATCH002	218	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
31	0b5d8548b3bd86a2b349a375bad2d0663ac228ead7ab53ee77649882199e5643	토목배관공사및배수공사	W_ROOT	BATCH002	219	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
32	aee11b43857ca937356a6bdc07d4c07bcfb4a907295f6d438907f6bc4c18f3bd	포장및도로공사	W_ROOT	BATCH002	220	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
33	ac368a0c0f1a47de02b0719a7260cce334402d73f5b81c14790a33504c7de5af	궤도및철로공사	W_ROOT	BATCH002	221	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
34	a6a8b82cc730c2c1ccbee8a6e3069acf7c737865e0559e13507a584d48ce84e9	교량공사	W_ROOT	BATCH002	222	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
35	32991cb1a0c97581964e68931e8f5b628770b3c39c61b6b842d18f7f1ba41dcf	터널공사	W_ROOT	BATCH002	223	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
36	26b97ff0e521dc6ae4e240d623b735a05a95303c6320b135436ff67a44ca249f	하천및항만공사	W_ROOT	BATCH002	224	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
37	968fd79e7255408d47a238dde1de0c3c6f523d4f5d9961a3343df390bc975ce0	댐공사	W_ROOT	BATCH002	225	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
38	3693f180a40f5520ba62e105815b6648e668092e90175b4c8cff72a4af71bb1e	옹벽공사	W_ROOT	BATCH002	226	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
41	0df66f6657194d47f6ba130f5286695ca6b249f820cd9018d97f266de5fa5328	조적공사	W_ROOT	BATCH002	227	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
42	79a9af9783fea77d0e2f75f96e56516f3fd1b04d44acbdec3982a78beb025774	목공사	W_ROOT	BATCH002	228	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
43	5fece427fa5a471efd1c857e65a2d6bf3b3f5ae09da0993212fb575b07f06436	지붕및홈통공사	W_ROOT	BATCH002	229	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
44	126751765ecd5389f67b539d63d95e77c06c24e17bab9d1d845ee03e06f83a91	방수공사	W_ROOT	BATCH002	230	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
45	0b95fdbb0407e9174e7cd047398cce07f3d87508adcfbbd3b429b427cde6bf7a	단열 방음공사	W_ROOT	BATCH002	231	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
46	0c95bf1774ffafde028edb18838bfc6ec482a158674540db10a07143e72378fb	외부판재공사	W_ROOT	BATCH002	232	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
47	229762bc992ef5ff7f9a29072dbfa81065063f322705647c9e304b59a21defe1	금속공사	W_ROOT	BATCH002	233	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
48	8aeebe5c891d36e67877da5c1ec39e0866252f3a1005b6b3087bffbb4fb91d6b	창호공사	W_ROOT	BATCH002	234	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
51	f0dcba2f2ffbd09a5157d727b1be98cdccbc1724acd799395d98a1b3bfe0a311	미장공사	W_ROOT	BATCH002	235	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
52	86322acee46ccabb10b10bac3b4ef479c46300b1506b294947898cdc56dc54f1	석재판재공사	W_ROOT	BATCH002	236	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
53	474dcb185a1920a86deeb129144ec220c96c88428fdb135da11b3ceed726ea51	타일공사	W_ROOT	BATCH002	237	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
54	6450ec805602bb29f4301be1aabff67434ea7b0c5bb93d4946810633973f9280	수장공사	W_ROOT	BATCH002	238	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
55	f57d2d7e86a05b7907fcd5c5a4fd3a1b9c01a3279f825fea534fd8b885ece299	도장공사	W_ROOT	BATCH002	239	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
56	bfbdcf581eee69dcd635d40fd5fd21e34c3f3e51ed288a2b747e39d235e2037e	설치물공사	W_ROOT	BATCH002	240	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
59	c64aa50eb243614144c714a434a38eae48e601b3d3853472e2dc2ae674a99b76	조경공사	W_ROOT	BATCH002	241	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
61	315d72442ae85bb2a1b108a414347492ab2ed91884c13875e8ac096b72d602e6	기계 플랜트시설공통공사	W_ROOT	BATCH002	242	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
62	1699e64589a476c8ab86aac1d19b0c90b2d58548827eed9a0865d1b2f0f66622	열원기기설비및공기조화설비공사	W_ROOT	BATCH002	243	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
63	bd4636c4a3ea7dad7bd1a13ac086df3d0d62d90b669da6ab2f8b0d8774025e33	위생설비공사	W_ROOT	BATCH002	244	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
64	7ce664de05dede4813fa605e706c8556c8ce355378f10fbdb94dbc4bfa890525	방재기계설비공사	W_ROOT	BATCH002	245	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
65	25e3c195de20b0135f57f870abb98932676dd179d5d7ab5429573503b4fc4f19	가스설비공사	W_ROOT	BATCH002	246	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
66	02279fcd9255e45100434962b0aa42b5c3287b02157121476b96d606535233df	특수설비공사	W_ROOT	BATCH002	247	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
67	13fecabc0812b260ffd07cbc0fffe2253e31b3188272d93a47f39dbeeb59ccde	서비스설비공사	W_ROOT	BATCH002	248	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
71	762f1fb8ee8375a528ecb09abe052a02652de5e9edea246fe666c9c0a9a2d601	발전설비공사	W_ROOT	BATCH002	249	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
72	f6d06a62cd7a87d1aeb4aa748d2aadf456206e4da322f95fca3570301e00f714	제조설비관련공사	W_ROOT	BATCH002	250	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
73	34c9d83d2a7bb3f20d0a1b0b45c4feba353301a0f954392441a77bd07ccd3e6d	폐기물처리및대기환경설비관련공사	W_ROOT	BATCH002	251	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
74	c1abdd5e02130019a25e49ab07b5c1813c5745a950e876e57d259f2eea1ebb99	운송설비공사	W_ROOT	BATCH002	252	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
76	28b18a71e7616eeb47097efa97a782c1bfcb38502457e8f4bf7fe08b5be33e40	에너지저장및관련수송설비공사	W_ROOT	BATCH002	253	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
81	53af066f3a797d4904997d780d2856e492245f7d79b17128fc62aa896f845472	전기 자동제어 계장 신호 통신공통공사	W_ROOT	BATCH002	254	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
82	beabb0cb7a799ec28dcfa7892aeb3703c5de28a59269dccece65cd98efbcd152	송배전․발 수변전전기공사	W_ROOT	BATCH002	255	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
83	a4d83d0132a55ce6f42d404136ca2c10c43e92a37f1be8a2355417e8a0879cba	전력부하설비공사	W_ROOT	BATCH002	256	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
84	4d8b86b98fef2c0c27b9d3d58f82e190d3ce956b3d8cfcdd5f01c80cb11fe7d5	정보 통신설비공사	W_ROOT	BATCH002	257	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
85	a7a149d6f8244e030864f04150559efd8866e5596b1b57b5068270abf2f9ff28	방재전기설비공사	W_ROOT	BATCH002	258	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
86	1b752e388f8f16b7b4098c157968ae399def37a2aa552f7ea130ee7ef018ae6a	기타전기설비공사	W_ROOT	BATCH002	259	PROCESS	MERGE_CANDIDATE	UNRESOLVED	NOT_APPROVED
91	5959665a38aa3d1615f6d3fa9b82c46d1cf8ac4989148b83857791acef91eb10	기계 플랜트 산업설비 전기 통신시험 시운전공사	W_ROOT	BATCH002	260	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
92	e0a22dbb0cd5357ac80e563f11732d80d7ab61567cc92c6cd8fa09ad9e7c0da8	기계 플랜트 산업․전기설비 통신시험 시설유지정비공사	W_ROOT	BATCH002	261	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
011	a5e3f1e50bae0dc0e1cd29c2867e144008fb8b6834eaac72a92488d157ed2ad7	공사일반사항	W_MID	BATCH002	262	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
015	48e315bc2c984bab456a7510e9e8f8eceef30cd2b82bddbb885355875edb214a	공사비	W_MID	BATCH002	263	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
022	9665c36c4a72ef05ab8e8e0f0a76f3c7f6c7a785a663d508aefbc307b59a16a6	발주자용가설건물 시설	W_MID	BATCH002	264	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
114	526cb30286447d65507429367245fc350de5b50e5d3d7bf450b013c519c36ad0	노선측량	W_MID	BATCH002	265	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
271	6f0a20fbd7d6be83a079154d6f79857b3f06d9fc05fd40290f7fe81a41a034d5	강구조물자재	W_MID	BATCH002	266	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
333	3591bc7a2165c398aabb67d275880f5db897c0ccf10a657feca79912908b4802	궤도부설	W_MID	BATCH002	267	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
361	0ce7afb0fcdaff64f3a3814edb12a8f393879e98eb357354e8025c9fbf51d1b4	준설	W_MID	BATCH002	268	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
364	65d90aeb853fd211c2550ca5190c2765b886e6cfab6fae9880890437b62c62ac	호안공사	W_MID	BATCH002	269	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
432	8ef105f9dcb3cb4e4a6be8be4c6fb1731465dd760d217938c04806d0bd463d95	기와잇기	W_MID	BATCH002	270	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
531	54c6ec744924bce174995d216f7d2ab3128a19500b145836b6cf081e6a893083	바닥타일붙이기	W_MID	BATCH002	271	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
532	5bf05d2491bfec37c72b6bfc8d61ff9d1366976fd6eee3a32f15b96c64a7342a	내벽타일붙이기	W_MID	BATCH002	272	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
533	536d85657493fc1366bbc6a32a9f0aba65f9bffe19673e46e9465924fde41941	외벽타일붙이기	W_MID	BATCH002	273	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
534	c521d7e2531510e18a6c8c47655352aec264594f047c5b2d0b23fd87bc15c90d	구조물밑면타일붙이기	W_MID	BATCH002	274	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
552	cadbf2c7149bc07b27e9c1cb45256ddfb31db4b762dedf11204e519dbab46691	방청성페인트	W_MID	BATCH002	275	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
557	dd37d9dbe16940f0d8d1f23e431c2f499d34a748de4491417b8f6dcab77af774	합성수지페인트	W_MID	BATCH002	276	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
558	38233ebf4da6c93447c4b3e6932217d6c44e51795afdede8f5ac099409145fb3	특수페인트	W_MID	BATCH002	277	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
596	26dc466aa49c299d893336855e3e0d5a9fbc8902828f10784c43a46097d34f61	조경시설물설치	W_MID	BATCH002	278	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
615	23c63a63f535450f7908be84cf5cf45625bcc66c7be1a67d9888281f809efdd9	설비․시설잡공사	W_MID	BATCH002	279	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
851	953e851d81455017e506267d2cf06cfd6a3e0eb69ba427cc778666155e9f7c45	소방전기설비공사	W_MID	BATCH002	280	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
028	0055415d603e0778429b0b22a25f399ce12ddd8833c8dea4eaab6c5435c49af6	가설설비	W_MID	BATCH002	281	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
085	3cac521404474de20ffd62f1ea54f5a44328bb253c1851e1475197157087ba9a	건축관리시험(토공 기초 구조체)	W_MID	BATCH002	282	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
