review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	review_basis	approval_state
712	10caefc9fc4f06ca7b78f3d2da24ea65f4910cc108b85297372f1b6c6fbf4ac0	0216	가설도로및주차장부지	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
713	05a49c7c8d7773d335911075582f49187791a758658d0268e593f24e1d7bac87	0222	발주자가설창고	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
714	2e278970f327edf1be1371ba961264cebd526ad30e7d94486729cbc996740ac1	0223	발주자가설작업실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
715	1aa514aa3edac579b3c84c994015126033ad9c0180a42d4c5f1fd8526f82fac7	0224	발주자가설실험실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
716	83bdb23f2f80388d615405dac33ccdc990c9ffc287653eb57a13c73d9e56d91a	0225	발주자가설화약고	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
717	96510c4a4a37726463f7f6b1de94e6207c2d5b3f91d42cfd91784579c00eab39	0226	발주자가설숙소	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
718	f51bcf740992f79636487cede92677f29e92cc1ac3217e37a2f3fc040ca849f3	0227	발주자가설화장실 샤워실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
719	657a3afae4fa7306f03b71c519f9b0849c2c7cba76844d83d151d4da6be24a7d	0228	발주자가설식당	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
720	c3fee4bc32240a3aa029929316ea3f20c759ab2a583488d2d903e393ccb416d2	0229	기타발주자용가설건물 시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
721	88012247a102ae3569951ef790aae77ce0361b9d36d5181177718a02d6846c81	0231	도급자가설현장사무실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
722	d76ed34e9f4cd354fb978c6635797f8360f849771e191ff66f590d5c67a7fd31	0232	도급자가설창고	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
723	554e91fff36bd6736acc8278114bfdea362b1eaeaceda4a9ff9740c59f8cfcd8	0233	도급자가설작업실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
724	031cede6caba1285177e6c00ff2c39da7bf3442426cacc8c4bf3dd31c39143e1	0234	도급자가설실험실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
725	cd3e77809d3bec6c85628b07929338508506853ea158ee27d5dc1be34ecc08a7	0235	도급자가설화약고	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
726	ade35f684e6c90617b5e155cdc345377039e430794ff2a4750ad5b02125b43db	0236	도급자가설숙소	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
727	87468cd88648c9bc0b9155f3e1e42db505ac0fbb91d00c45f6413cae547cd528	0237	도급자가설화장실 샤워실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
728	204556767072f699aaf5f0b548f265d11a6ece7b01d910fe0ffde265243360f1	0241	가설식당	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
729	c40221d1864443e85c8ce3b273fc2a6c7a8c5bab614863c24d55be15cc7d4978	0242	가설복지시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
730	239206c90cc31450d3e6656da49b209c9f688810e7bcc50b943ac3e63bb53b40	0243	가설주차장시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
731	6c99b0f9b0250e681fbd0f7228cbe2bbde4843d5e240523cf142e8bac1c892d7	0244	가설경비실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
732	4091330f1f7a7e13cb4ebaf3dba6da454bafb4920479584fe5dffd434b7aefca	0251	발주자업무용선박	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
733	ea331a5464077ad2abfe50f30c0f48831f29ff57f4149e5a9d2ae3f3cf9294a9	0252	발주자업무용차량	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
734	215bf630840a8d9dffa02b9be3752e8c5bc6bb9b494e00da1d12b2bf051b1904	0253	도급자업무용선박	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
735	85731f2223b7b472795b20805976bd817f0eb5ffd755183f338a342eca101637	0254	도급자업무용차량	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
736	01777091bc5346a91ccd9793bc570aa965c17411325b9c44b7b400887a444492	0261	목재울타리	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
737	2b85b65448626324a62989d679891ae29cede1ca6a38583eb4dcf710ecd81f74	0262	철재울타리	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
738	111da1268b1c4ceb8b3973b15f219b3fe13b9cb008d99a89083517e1255de9e6	0263	철망울타리	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
739	363a03589a39cff8d53eec2bf46ab2d4d368f8fd3299a6018e2ceaee021467e7	0264	조립식울타리	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
740	ed8e2f56ba6db73d22ee10d8277b7191bc5030fda766a5b115d1759043f20393	0265	현장출입문	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
741	efb5b3c0a057bc60d92e7ba6ccf2c0681b3dc0dbe1dbfdbd4e1f503a03482249	0271	가설안내판 현황판	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
742	10aae86fff2c3032d6a2ab191bcda8c34735a73178731f19fbd07b0cc266fe5a	0272	프로젝트조감도 모형	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
743	5410232c133d8124aece671eeba0398ec4acfd575091ec341275d62ae198ad88	0281	가설전기 조명설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
744	711b6d331bcb2d9830a2fcc41997c4228e1efb57533965b0567be803df673634	0282	가설냉 난방설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
745	54fbeb1ce186c079f16cee0f7ea4ec027a29144bf06391058e55f85f685328db	0283	가설소방설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
746	35ea3d9cf3f1f77299e3b31984c0130574174f16f501d50f1303c4b9c7b8cc97	0284	가설통신설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
747	d11f59773fc2c26a901e0658f06d2fccb6c79c96c7576e20fb4aa0c2adf6bf86	0285	가설급수설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
748	0af3626a5f28d3d8801af3b1279663e47f03c597b4bdec893f2159279ee025d9	0286	가설배수설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
749	378635566d60218105c9b3a5bb8253baed90c31c9564c958f6128aeacdfc7a3b	0287	가설환기설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
750	8d240092d0c6880b202190bf9961c644e3727200728f2a7b5c1d40d02eb555a4	0288	가설구급설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
751	e69ff31cbbde7fe147385d0d8c53d768c9434db62ae65aeeb2a93ec06e111a74	0312	가설주차장	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
752	3d92f46a884195e0a9b53fde98ec1555ee092af26661f65234388cf96aa985b7	0322	동바리	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
753	f1599521b748893550249a1ec78bda72322081f5f48aa9d2030b0604b87c4a55	0323	작업안전및가설방호시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
754	7d91078d7a8734815b6c2b0c223bd5c168e6c58cd216b92b25b027b96f34d01e	0324	공사중공공이용시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
755	7954786fee05a0020a1b9e8c4739c4e1553dd45fb4cf586b2dc23f375154890e	0325	공사용가설설비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
756	6fea2e81b61dced1dac8296859e2cb231b195cf2e141df7b83a98bffd8e46233	0326	가설보호막	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
757	f475fabb958c475378e56e1aa80233cfdccdcbb6eba200eda235a7194f150f37	0341	작업대차및비계	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
758	4ec6a9bf3acb11294918bd83f3275789cbbd43864a79a4860abd29dc19a38d2f	0342	작업레일	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
759	60d02cc3625ee6407c89e96e401158247d963014d5d8b7a5bcdba21fdbe8c54d	0371	나무널말뚝가물막이	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
760	4f6c82c96a3a7758959f4645833ee8dc45b8253e527a20d75a66fbf09ea56b1d	0374	토사가물막이	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
761	5e740e4242285312261fec363738997666fb0c6fd70b2538fdf0662143893eb5	0375	사석가물막이	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
762	fe14e0093ee04bd80e96dba824d62f7cddc5f65c4803a3d5a070c10b3688ea31	0512	토질오염방지	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
763	c90535dfced387abf8814c7a9311b392d10b7a6d411984a519fe08b5b3389952	0513	대기오염방지	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
764	6b98c55b95ef67225dc5e60dafc62dac211de4a4e317166a6937ba849ddd044c	0514	소음진동방지	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
765	4705c1650e12c7bfb189fdaa6187d4c94abf2d53b2a7eb7383e671d16778a3d8	0515	도로오염방지 - - 대․중․소 분류대․중․소 분류	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
766	4a86575867587e78ac98e55b9e7a45b49b4bcf97e6056fc635ced680177d710e	0516	폐기물처리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
767	8991851d6e91913b348bda70bbe5310099b1634184b6c7e935a2b9aedc34ade5	0581	현장상시정리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
768	7851f1c58a4c542e5d6567903a3ef0a0deb196a6ee1d620b81b70ddfbb51822d	0582	정기안전점검	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
769	e8c74db54d3a551f23c4577cfc70fcb6bc10cb46b81ce763a2890715ca0ec642	0583	사후환경평가	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
770	d8577db875314f8d0b83fef0e193ce811d7df883364fcbea9144df423df23142	0584	구조물건전성평가	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
771	18184b759a171d0066238e9366aac343d9fa1f4d74c4b58590d60cd50d490266	0587	준공관련시설물	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
772	d6698a06f1e3bf822e9717dd86e909193fc33440819d2f9e88390e116c54f66e	0588	준공정리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
773	441979902b2202720ad7a0ea87f9f5eda005bc049f51379efbf26939ba8099e8	0612	회항비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
774	aa66500831fc6b4a8a836983bf39edb7af44b7958f3e5220c809d812eb7bc8ed	0613	대피비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
775	17cb50f5a89c5008a6460c28ab52bc25f00cabfb68e385568b19ec85b0518173	0622	크레인	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
776	a556cb730bbf7f17ea0756044b1fcc424e5a5d97a1467aabb05adf1776e9546e	0623	리프트	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
777	682f6620e926491ab9cd5d739b63a9baea6ef0ce5882a8f75a0b1e825373ab40	0624	윈치	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
778	895eeb81212549c6dc8a4390314547fad775ea57b32d38face26b74183830c01	0631	콘크리트운반장비	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
779	d0c69ffb8690c7e38a2242a857eb6944223fca2af0a1cffda9ce0d2b85c2faf8	0632	콘크리트믹서트럭	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
780	da564d63315c2bf0b0cd852cf3496eb53ccff8897f55d84bc9423a74b1586271	0633	덤프트럭	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
781	91a305afe75944682e576e3b2c389ebb1689e52b9e9738427c243078b0761cb1	0634	콘크리트타워	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
782	15e9f9088b22a7590988ec33f1ef01ad96ca3dd36e842f2ebd509d79e442433f	0635	벨트컨베이어	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
783	7c578b32bf104a5808e691677e6f8acf66913308c047d4616a63bcf844c96993	0712	기초공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
784	137134e5cc054298d3ca056c353a5cd60ce45f895f8c63e86870e453cc7ea7d0	0713	콘크리트공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
785	37a04b721c7f363fecb1d97db60f7424f6d5654d6d8285af090a90eb0c438cbb	0714	철강구조물공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
786	9c996229eb2cbd5fe3ef8581e160db45cbb843a0872d9a6ff30922513a3efbbd	0722	철도	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
787	aa515a7df17f23a84eac346215c5e4e0373efebc143d66ccf43d6e0ba7e00ceb	0723	교량	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
788	1d8a0dd35ed41f27789717fa2d2e090798040c6af9a0b55c4f8ed409e7b28738	0724	터널	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
789	e544fbf56fc5cb78067142727c5d8c160c06b049d8c285c7807dcc3c4e4927b1	0725	수공구조물공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
790	dfc7f505fe4447aec4c4fc57694f409019409446217c37c83747e5892feb0467	0726	배관및배수	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
791	fd0eb7c13728615a9ea812b87c7d95d98c5d63a3122b5aa7abf45d0991c0f583	0731	조적및목구조공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
792	acd2dd88d3a7f79d4f9b9a27263c081536c90cb1bd55ae04d124d71257a18416	0732	방수 단열 지붕공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
793	99db583324eee570c28ea6cbd93bd6edf4dc3039cd5366c8e99cd2e67b507a49	0733	마감공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
794	3769048f47b3f0c13e0e0928ba93e2aba1ed6286f095f12d0d129d5683cad0de	0852	말뚝기초	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
795	d065a47a3908d0eebd6d7ceb321d3074fdcfee6e6710f6a90d90218877502b07	0853	시멘트및혼화제	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	GPT_004A_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
796	278c05df2ac0decdf6f009682cf907f60f26a38f00023eccd80d191b271009b5	0854	콘크리트및골재	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	GPT_004A_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
797	fcb3383f6074215c8d17cc9e4a52d63f3ee1bf464cce685d8f35bcef1e458165	0855	콘크리트보강재	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	GPT_004A_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
798	5e967a9bb771a0e440b88ff43dac5fc0bf21040c8359151dd7c9458c6f04e239	0856	철골구조	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
799	5742ad6cb205bb69c89ff703ba005c5429164d9413f21a42054bea9f11143cff	0857	조적구조	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
800	d091f6295ec2475cc94993bee05c6f0f721b9074b53b22cc03370f934bb1d5cb	0858	목구조	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
801	33fe1a5500ee99da4168f0913b81db47fb3884bac8268a867547259286b97434	0863	단열및방화	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
